File,Variant Type,Variant Length,counts
BB-3,INS,39,440
BB-3,INS,31,526
BB-3,INS,102,38
BB-3,INS,-2119,1
BB-3,DEL,39,417
BB-3,INS,127,25
BB-3,INS,-122,28
BB-3,DEL,-198,225
BB-3,DEL,41,313
BB-3,INS,-222,161
BB-3,DEL,-78,75
BB-3,DEL,-2257,1
BB-3,DEL,-161,27
BB-3,DEL,37,450
BB-3,INS,193,177
BB-3,INS,-207,323
BB-3,DEL,33,570
BB-3,INS,-215,250
BB-3,DEL,513,2
BB-3,INS,-48,233
BB-3,DEL,38,438
BB-3,INS,90,46
BB-3,INS,-103,39
BB-3,DEL,101,39
BB-3,INS,32,627
BB-3,INS,143,26
BB-3,INS,212,250
BB-3,INS,-367,4
BB-3,DEL,-203,318
BB-3,DEL,194,222
BB-3,INS,185,64
BB-3,INS,-52,218
BB-3,DEL,99,45
BB-3,INS,42,272
BB-3,INS,263,9
BB-3,INS,-6334,3
BB-3,DEL,-34,442
BB-3,BND,78,1
BB-3,DEL,-117,31
BB-3,INS,66,54
BB-3,DEL,55,121
BB-3,INS,63,93
BB-3,INS,-35,468
BB-3,INS,104,46
BB-3,DEL,-204,321
BB-3,INS,116,29
BB-3,DEL,-125,34
BB-3,INS,-41,307
BB-3,DEL,341,7
BB-3,DEL,112,35
BB-3,INS,-6045,1
BB-3,INS,-225,115
BB-3,DEL,-202,285
BB-3,DEL,243,32
BB-3,DEL,38,438
BB-3,INS,40,348
BB-3,INS,-118,34
BB-3,INS,160,31
BB-3,DEL,-6310,2
BB-3,INS,-46,239
BB-3,DEL,202,353
BB-3,DEL,-212,299
BB-3,INS,-201,247
BB-3,DEL,33,570
BB-3,DEL,-204,321
BB-3,INS,39,440
BB-3,DEL,364,3
BB-3,INS,301,12
BB-3,INV,235,1
BB-3,INV,229,1
BB-3,INS,-222,161
BB-3,INS,253,18
BB-3,DEL,-56,162
BB-3,INS,194,185
BB-3,DEL,218,194
BB-3,INS,-204,296
BB-3,INS,-41,307
BB-3,DEL,214,239
BB-3,DEL,229,73
BB-3,INS,203,318
BB-3,INS,-212,289
BB-3,INS,253,18
BB-3,DEL,-34,442
BB-3,INS,-204,296
BB-3,DEL,-55,197
BB-3,DEL,-235,70
BB-3,DEL,74,56
BB-3,DEL,-198,225
BB-3,INS,-202,269
BB-3,DEL,39,417
BB-3,DEL,41,313
BB-3,INS,-59,131
BB-3,INS,-41,307
BB-3,DEL,-89,40
BB-3,DEL,30,464
BB-3,DEL,-40,371
BB-3,INS,214,243
BB-3,DEL,39,417
BB-3,INS,-33,435
BB-3,INS,-202,269
BB-3,DEL,204,365
BB-3,DEL,-218,207
BB-3,INS,-65,106
BB-3,DEL,631,1
BB-3,DEL,202,353
BB-3,INS,-56,156
BB-3,INS,216,195
BB-3,DEL,64,85
BB-3,INS,-47,237
BB-3,INS,205,359
BB-3,DEL,201,349
BB-3,INS,-191,93
BB-3,INS,103,34
BB-3,DEL,-99,46
BB-3,INS,41,319
BB-3,DEL,57,118
BB-3,INS,-45,230
BB-3,INS,-39,338
BB-3,DEL,-204,321
BB-3,DEL,33,570
BB-3,DEL,45,241
BB-3,INS,56,128
BB-3,INS,215,210
BB-3,INS,58,112
BB-3,INS,-36,462
BB-3,INS,-234,70
BB-3,DEL,206,341
BB-3,DEL,-36,435
BB-3,INS,82,58
BB-3,DEL,175,21
BB-3,INS,-35,468
BB-3,INS,-34,443
BB-3,DEL,203,362
BB-3,DEL,-209,292
BB-3,INS,202,344
BB-3,DEL,-1757,1
BB-3,INS,187,66
BB-3,DEL,-79,90
BB-3,INS,87,43
BB-3,DEL,51,145
BB-3,INS,-214,240
BB-3,INS,289,13
BB-3,DEL,-117,31
BB-3,INS,44,229
BB-3,DEL,203,362
BB-3,INS,39,440
BB-3,INS,54,129
BB-3,INS,162,24
BB-3,INS,33,592
BB-3,INS,-212,289
BB-3,INS,282,13
BB-3,DEL,34,515
BB-3,INS,-212,289
BB-3,INS,211,274
BB-3,DEL,-201,267
BB-3,INS,-178,12
BB-3,DEL,-330,6
BB-3,DEL,-35,459
BB-3,DEL,-99,46
BB-3,DEL,217,196
BB-3,DEL,250,22
BB-3,INS,198,270
BB-3,INV,192,4
BB-3,INV,-165,1
BB-3,INS,-82,61
BB-3,DEL,80,51
BB-3,DEL,-43,312
BB-3,INS,-32,481
BB-3,DEL,-78,75
BB-3,DEL,-44,297
BB-3,DEL,-56,162
BB-3,DEL,-39,390
BB-3,DEL,134,29
BB-3,DEL,44,258
BB-3,INS,199,336
BB-3,INS,205,359
BB-3,INS,-48,233
BB-3,INS,-221,164
BB-3,DEL,32,640
BB-3,DEL,199,301
BB-3,INS,196,251
BB-3,INS,223,105
BB-3,INS,194,185
BB-3,INS,38,441
BB-3,INS,34,553
BB-3,INS,33,592
BB-3,INS,-31,439
BB-3,INS,-150,25
BB-3,DEL,-40,371
BB-3,DEL,47,231
BB-3,DEL,212,279
BB-3,INS,192,164
BB-3,INS,-207,323
BB-3,INS,33,592
BB-3,DEL,102,44
BB-3,INS,-129,37
BB-3,INS,35,534
BB-3,DEL,-40,371
BB-3,INS,212,250
BB-3,DEL,-36,435
BB-3,INS,46,205
BB-3,DEL,35,565
BB-3,INS,128,24
BB-3,INS,163,19
BB-3,INV,-32,9
BB-3,INV,-30,8
BB-3,DEL,-194,154
BB-3,DEL,-224,146
BB-3,DEL,35,565
BB-3,DEL,-41,309
BB-3,INS,209,344
BB-3,DEL,36,521
BB-3,INS,35,534
BB-3,INS,71,72
BB-3,INS,-207,323
BB-3,INS,-41,307
BB-3,DEL,212,279
BB-3,DEL,79,42
BB-3,INS,-38,373
BB-3,INS,194,185
BB-3,DEL,223,118
BB-3,INS,-96,33
BB-3,INS,-198,203
BB-3,DEL,-197,192
BB-3,DEL,-58,150
BB-3,DEL,-211,298
BB-3,DEL,34,515
BB-3,DEL,223,118
BB-3,INS,39,440
BB-3,INS,213,238
BB-3,INS,-71,84
BB-3,INS,-218,207
BB-3,DEL,30,464
BB-3,DEL,-939,1
BB-3,INS,-79,69
BB-3,DEL,174,24
BB-3,DEL,-54,176
BB-3,INS,48,182
BB-3,DEL,-52,210
BB-3,INS,181,39
BB-3,DEL,35,565
BB-3,INS,43,253
BB-3,INS,-237,53
BB-3,INS,-56,156
BB-3,DEL,47,231
BB-3,DEL,-41,309
BB-3,INS,-92,45
BB-3,DEL,-58,150
BB-3,DEL,40,360
BB-3,DEL,-39,390
BB-3,INS,208,299
BB-3,DEL,201,349
BB-3,INS,-47,237
BB-3,INS,-81,63
BB-3,DEL,34,515
BB-3,DEL,-53,210
BB-3,INS,-6307,1
BB-3,DEL,-611,4
BB-3,DEL,89,58
BB-3,DEL,-116,39
BB-3,INS,30,416
BB-3,DEL,44,258
BB-3,INS,32,627
BB-3,INS,431,5
BB-3,INS,-34,443
BB-3,INS,194,185
BB-3,DEL,-83,68
BB-3,INS,-96,33
BB-3,DEL,341,7
BB-3,DEL,74,56
BB-3,INS,-67,101
BB-3,INS,72,78
BB-3,DEL,-37,383
BB-3,INS,-215,250
BB-3,DEL,-30,487
BB-3,DEL,-223,171
BB-3,DEL,-209,292
BB-3,DEL,-101,42
BB-3,DEL,-57,152
BB-3,DEL,30,464
BB-3,DEL,-66,83
BB-3,INS,88,38
BB-3,DEL,758,2
BB-3,INS,91,34
BB-3,INS,92,49
BB-3,INS,73,67
BB-3,INS,-42,277
BB-3,INS,43,253
BB-3,DEL,57,118
BB-3,INS,76,62
BB-3,INS,-217,230
BB-3,INS,199,336
BB-3,DEL,-213,273
BB-3,INS,969,2
BB-3,DEL,-51,244
BB-3,INS,-52,218
BB-3,DEL,-35,459
BB-3,DEL,34,515
BB-3,DEL,-91,50
BB-3,INS,39,440
BB-3,DEL,-144,22
BB-3,INS,-36,462
BB-3,DEL,240,26
BB-3,DEL,-139,20
BB-3,INS,197,268
BB-3,DEL,33,570
BB-3,INS,-213,282
BB-3,INS,-1082,1
BB-3,DEL,-220,219
BB-3,DEL,-683,2
BB-3,DEL,-70,127
BB-3,DEL,82,53
BB-3,DEL,-58,150
BB-3,INS,-216,247
BB-3,DEL,-37,383
BB-3,DEL,186,81
BB-3,DEL,34,515
BB-3,INS,755,1
BB-3,INS,-181,27
BB-3,INS,208,299
BB-3,DEL,38,438
BB-3,INS,205,359
BB-3,INS,41,319
BB-3,INS,-31,439
BB-3,INS,-200,287
BB-3,DEL,54,134
BB-3,DEL,31,540
BB-3,INS,-186,27
BB-3,INS,219,136
BB-3,DEL,-54,176
BB-3,INS,-34,443
BB-3,DEL,204,365
BB-3,DEL,206,341
BB-3,INS,41,319
BB-3,BND,57,1
BB-3,INS,-215,250
BB-3,INS,198,270
BB-3,INS,-37,378
BB-3,DEL,-1973,2
BB-3,INS,72,78
BB-3,DEL,49,200
BB-3,DEL,-207,375
BB-3,INS,191,160
BB-3,INS,-46,239
BB-3,DEL,165,19
BB-3,INS,-157,20
BB-3,DEL,1683,2
BB-3,INS,202,344
BB-3,DEL,204,365
BB-3,INS,35,534
BB-3,INS,-239,43
BB-3,INS,199,336
BB-3,INS,244,14
BB-3,DEL,31,540
BB-3,INS,223,105
BB-3,INS,-86,62
BB-3,INS,130,23
BB-3,INS,-393,3
BB-3,DEL,-220,219
BB-3,INS,37,413
BB-3,DEL,-331,6
BB-3,DEL,-68,109
BB-3,INS,207,333
BB-3,DEL,-98,48
BB-3,DEL,197,267
BB-3,INS,59,90
BB-3,DEL,-197,192
BB-3,INS,47,191
BB-3,INS,50,170
BB-3,DEL,-6489,1
BB-3,INS,-43,268
BB-3,INS,949,2
BB-3,DEL,-244,37
BB-3,DEL,35,565
BB-3,BND,36,13
BB-3,INS,-132,20
BB-3,BND,-50,3
BB-3,DEL,211,302
BB-3,INS,-208,345
BB-3,INS,-213,282
BB-3,DEL,32,640
BB-3,DEL,-44,297
BB-3,INS,33,592
BB-3,DEL,195,232
BB-3,DEL,-32,563
BB-3,INS,30,416
BB-3,DEL,-204,321
BB-3,INS,31,526
BB-3,INS,258,13
BB-3,DEL,-186,47
BB-3,INS,-223,160
BB-3,DEL,-113,37
BB-3,INS,-214,240
BB-3,INS,-44,304
BB-3,DEL,-200,280
BB-3,DEL,-204,321
BB-3,DEL,-195,182
BB-3,DEL,-85,68
BB-3,DEL,205,373
BB-3,DEL,47,231
BB-3,DEL,-61,134
BB-3,DEL,-224,146
BB-3,DEL,-93,54
BB-3,INS,-94,33
BB-3,INS,208,299
BB-3,DEL,43,312
BB-3,DEL,37,450
BB-3,DEL,-231,87
BB-3,DEL,34,515
BB-3,INS,199,336
BB-3,INS,681,2
BB-3,INS,-49,208
BB-3,DEL,-192,110
BB-3,INS,31,526
BB-3,INS,-37,378
BB-3,INS,65,67
BB-3,DEL,-48,229
BB-3,DEL,44,258
BB-3,INS,-186,27
BB-3,DEL,-55,197
BB-3,INS,208,299
BB-3,DEL,-47,302
BB-3,INS,-204,296
BB-3,DEL,88,42
BB-3,DEL,197,267
BB-3,INS,105,36
BB-3,DEL,-35,459
BB-3,BND,203,4
BB-3,BND,-209,3
BB-3,DEL,-232,75
BB-3,INS,-51,220
BB-3,INS,-206,307
BB-3,INS,190,137
BB-3,DEL,39,417
BB-3,INS,48,182
BB-3,DEL,-437,4
BB-3,DEL,186,81
BB-3,DEL,31,540
BB-3,DEL,67,81
BB-3,INS,211,274
BB-3,INS,200,279
BB-3,INS,52,131
BB-3,DEL,-33,419
BB-3,INS,-62,112
BB-3,INS,-454,1
BB-3,INS,-71,84
BB-3,INS,46,205
BB-3,INS,-30,513
BB-3,INS,101,50
BB-3,DEL,204,365
BB-3,DEL,-52,210
BB-3,DEL,-34,442
BB-3,DEL,-60,134
BB-3,INS,-33,435
BB-3,DEL,30,464
BB-3,INS,41,319
BB-3,INS,239,29
BB-3,DEL,-244,37
BB-3,DEL,189,115
BB-3,DEL,-201,267
BB-3,DEL,66,65
BB-3,INS,185,64
BB-3,INS,215,210
BB-3,INS,-262,10
BB-3,DEL,40,360
BB-3,INS,-6595,2
BB-3,DEL,214,239
BB-3,INS,201,319
BB-3,INS,221,119
BB-3,INS,-40,312
BB-3,DEL,-31,476
BB-3,INS,-65,106
BB-3,DEL,184,48
BB-3,INS,-31,439
BB-3,INS,47,191
BB-3,INS,462,2
BB-3,DEL,-35,459
BB-3,DEL,229,73
BB-3,DEL,-205,314
BB-3,INS,206,353
BB-3,DEL,-34,442
BB-3,INS,184,43
BB-3,INS,-218,207
BB-3,DEL,32,640
BB-3,INS,-35,468
BB-3,DEL,-31,476
BB-3,INS,-210,258
BB-3,DEL,-191,76
BB-3,INS,-85,51
BB-3,DEL,203,362
BB-3,INS,-224,147
BB-3,DEL,1898,1
BB-3,DEL,36,521
BB-3,DEL,-944,1
BB-3,DEL,-205,314
BB-3,DEL,-52,210
BB-3,INS,31,526
BB-3,DEL,-89,40
BB-3,INS,193,177
BB-3,BND,-45,2
BB-3,BND,-36,8
BB-3,INS,-61,108
BB-3,DEL,78,50
BB-3,DEL,53,137
BB-3,DEL,-35,459
BB-3,INS,-69,114
BB-3,DEL,-38,392
BB-3,INS,211,274
BB-3,DEL,47,231
BB-3,DEL,-48,229
BB-3,DEL,1790,1
BB-3,INS,67,88
BB-3,INS,-126,22
BB-3,DEL,-195,182
BB-3,DEL,-81,77
BB-3,DEL,205,373
BB-3,INS,-201,247
BB-3,INS,204,354
BB-3,DEL,-202,285
BB-3,INS,-206,307
BB-3,INS,-33,435
BB-3,DEL,-3894,3
BB-3,DEL,213,263
BB-3,DEL,201,349
BB-3,INS,1168,2
BB-3,DEL,199,301
BB-3,INS,51,156
BB-3,DEL,-218,207
BB-3,DEL,-206,332
BB-3,DEL,217,196
BB-3,DEL,208,334
BB-3,INS,-226,125
BB-3,INS,579,3
BB-3,INS,-68,91
BB-3,INS,-229,112
BB-3,INS,32,627
BB-3,DEL,31,540
BB-3,DEL,218,194
BB-3,INS,-30,513
BB-3,INS,-87,51
BB-3,DEL,42,305
BB-3,INS,179,38
BB-3,DEL,-128,33
BB-3,DEL,191,144
BB-3,INS,209,344
BB-3,INS,820,2
BB-3,INS,-76,63
BB-3,DEL,127,35
BB-3,BND,-88,2
BB-3,BND,84,2
BB-3,DEL,-30,487
BB-3,INS,203,318
BB-3,INS,-205,305
BB-3,DEL,34,515
BB-3,INS,42,272
BB-3,INS,-36,462
BB-3,INS,56,128
BB-3,DEL,203,362
BB-3,INS,-195,166
BB-3,DEL,201,349
BB-3,INS,-214,240
BB-3,DEL,-32,563
BB-3,INS,32,627
BB-3,DEL,-38,392
BB-3,INS,-38,373
BB-3,INS,47,191
BB-3,DEL,-58,150
BB-3,INS,91,34
BB-3,INS,40,348
BB-3,DEL,-227,119
BB-3,INS,-269,6
BB-3,DEL,-30,487
BB-3,DEL,-74,85
BB-3,INS,-196,165
BB-3,DEL,-64,124
BB-3,DEL,-262,17
BB-3,INS,40,348
BB-3,DEL,32,640
BB-3,INS,196,251
BB-3,INS,-41,307
BB-3,DEL,-67,123
BB-3,DEL,-216,249
BB-3,DEL,-226,131
BB-3,DEL,214,239
BB-3,DEL,224,94
BB-3,DEL,46,187
BB-3,DEL,204,365
BB-3,INS,-207,323
BB-3,INS,195,204
BB-3,INS,199,336
BB-3,DEL,-70,127
BB-3,DEL,-225,132
BB-3,DEL,202,353
BB-3,DEL,-276,8
BB-3,INS,-189,59
BB-3,INS,195,204
BB-3,INS,-36,462
BB-3,INS,-211,301
BB-3,DEL,32,640
BB-3,INS,31,526
BB-3,INS,-220,191
BB-3,DEL,3126,1
BB-3,DEL,-844,1
BB-3,INS,-67,101
BB-3,DEL,32,640
BB-3,DEL,221,162
BB-3,INS,-124,17
BB-3,DEL,191,144
BB-3,DEL,33,570
BB-3,INS,-112,46
BB-3,INS,-213,282
BB-3,DEL,36,521
BB-3,INS,105,36
BB-3,DEL,-455,1
BB-3,DEL,-40,371
BB-3,INS,233,49
BB-3,INS,208,299
BB-3,DEL,45,241
BB-3,INS,-166,18
BB-3,INS,139,21
BB-3,DEL,-6381,2
BB-3,DEL,47,231
BB-3,INS,199,336
BB-3,INS,-208,345
BB-3,DEL,210,281
BB-3,DEL,33,570
BB-3,INS,228,61
BB-3,INS,-35,468
BB-3,INS,312,4
BB-3,DEL,438,6
BB-3,INS,-45,230
BB-3,DEL,-197,192
BB-3,INS,-34,443
BB-3,INS,47,191
BB-3,DEL,201,349
BB-3,INS,-6323,6
BB-3,INS,228,61
BB-3,INS,199,336
BB-3,DEL,64,85
BB-3,INS,206,353
BB-3,INS,36,495
BB-3,DEL,230,64
BB-3,DEL,-201,267
BB-3,DEL,-212,299
BB-3,INS,140,28
BB-3,INS,-78,70
BB-3,DEL,33,570
BB-3,INS,-226,125
BB-3,INS,-220,191
BB-3,INS,-205,305
BB-3,INS,-204,296
BB-3,INS,-212,289
BB-3,INS,-36,462
BB-3,DEL,227,61
BB-3,DEL,73,81
BB-3,INS,-233,74
BB-3,DEL,-221,166
BB-3,INS,-103,39
BB-3,DEL,-745,4
BB-3,DEL,195,232
BB-3,DEL,40,360
BB-3,DEL,-6318,4
BB-3,DEL,-53,210
BB-3,DEL,-213,273
BB-3,INS,-53,183
BB-3,INS,202,344
BB-3,DEL,-198,225
BB-3,DEL,-47,302
BB-3,DEL,215,206
BB-3,DEL,33,570
BB-3,INS,-56,156
BB-3,INS,204,354
BB-3,DEL,35,565
BB-3,DEL,-196,188
BB-3,DEL,-192,110
BB-3,DEL,216,208
BB-3,INS,-41,307
BB-3,DEL,221,162
BB-3,DEL,31,540
BB-3,INS,329,11
BB-3,INS,-31,439
BB-3,DEL,554,1
BB-3,INS,-192,103
BB-3,INS,-213,282
BB-3,DEL,-428,6
BB-3,DEL,-127,23
BB-3,INS,-31,439
BB-3,DEL,-206,332
BB-3,INS,140,28
BB-3,INS,-120,24
BB-3,INS,-37,378
BB-3,DEL,32,640
BB-3,INS,-219,198
BB-3,DEL,-53,210
BB-3,DEL,194,222
BB-3,DEL,39,417
BB-3,DEL,-199,266
BB-3,DEL,196,262
BB-3,DEL,-150,26
BB-3,INS,190,137
BB-3,DEL,35,565
BB-3,DEL,-211,298
BB-3,INS,-32,481
BB-3,DEL,-1967,3
BB-3,DEL,-78,75
BB-3,INS,36,495
BB-3,INS,-30,513
BB-3,DEL,-32,563
